Filename,Name,Extension,Date
bd26d2606_stis_006.fits,bd26d2606,_stis_006,16-Feb-2023
bd29d2091_mod_001.fits,bd29d2091,_mod_001,30-Aug-2019
bd29d2091_mod_002.fits,bd29d2091,_mod_002,23-Mar-2020
bd29d2091_mod_003.fits,bd29d2091,_mod_003,16-Feb-2023
bd29d2091_stis_001.fits,bd29d2091,_stis_001,2013-11-18T19:20:56
bd29d2091_stis_002.fits,bd29d2091,_stis_002,2015-01-06T17:00:20
bd29d2091_stis_003.fits,bd29d2091,_stis_003,2015-01-05T21:02:37
bd29d2091_stis_004.fits,bd29d2091,_stis_004,30-Aug-2019
bd29d2091_stis_005.fits,bd29d2091,_stis_005,21-Mar-2020
bd29d2091_stis_006.fits,bd29d2091,_stis_006,16-Feb-2023
bd54d1216_mod_001.fits,bd54d1216,_mod_001,30-Aug-2019
bd54d1216_mod_002.fits,bd54d1216,_mod_002,23-Mar-2020
bd54d1216_stis_001.fits,bd54d1216,_stis_001,2013-11-18T19:20:56
bd54d1216_stis_002.fits,bd54d1216,_stis_002,2015-01-06T17:00:20
bd54d1216_stis_003.fits,bd54d1216,_stis_003,2015-01-05T21:02:37
bd54d1216_stis_004.fits,bd54d1216,_stis_004,30-Aug-2019
bd54d1216_stis_005.fits,bd54d1216,_stis_005,21-Mar-2020
bd60d1753_mod_001.fits,bd60d1753,_mod_001,13-Feb-2017
bd60d1753_mod_002.fits,bd60d1753,_mod_002,3-Aug-2017
bd60d1753_mod_003.fits,bd60d1753,_mod_003,17-Jan-2019
bd60d1753_mod_004.fits,bd60d1753,_mod_004,23-Mar-2020
bd60d1753_mod_005.fits,bd60d1753,_mod_005,16-Feb-2023
bd60d1753_stis_001.fits,bd60d1753,_stis_001,2013-11-18T19:20:56
bd60d1753_stis_002.fits,bd60d1753,_stis_002,2015-01-06T17:00:20
bd60d1753_stis_003.fits,bd60d1753,_stis_003,2015-01-05T21:02:37
bd60d1753_stis_004.fits,bd60d1753,_stis_004,13-Feb-2017
bd60d1753_stiswfc_001.fits,bd60d1753,_stiswfc_001,17-Jan-2019
bd60d1753_stiswfc_002.fits,bd60d1753,_stiswfc_002,21-Mar-2020
bd60d1753_stiswfc_003.fits,bd60d1753,_stiswfc_003,2-Mar-2021
bd60d1753_stiswfc_004.fits,bd60d1753,_stiswfc_004,17-Feb-2023
bd_17d4708_stisnic_002.fits,bd+17d4708,bd_17d4708_stisnic_002,2015-01-06T17:00:20
bd_17d4708_stisnic_003.fits,bd+17d4708,bd_17d4708_stisnic_003,2010-02-10T23:23:09
bd_17d4708_stisnic_004.fits,bd+17d4708,bd_17d4708_stisnic_004,2013-11-18T19:20:56
bd_17d4708_stisnic_005.fits,bd+17d4708,bd_17d4708_stisnic_005,2015-01-06T17:00:20
bd_17d4708_stisnic_006.fits,bd+17d4708,bd_17d4708_stisnic_006,2015-01-05T21:02:37
bd_17d4708_stisnic_007.fits,bd+17d4708,bd_17d4708_stisnic_007,21-Mar-2020
bd_25d4655_002.fits,bd+25d4655,bd_25d4655_002,2015-01-06T17:00:20
bd_28d4211_005.fits,bd+28d4211,bd_28d4211_005,2015-01-06T17:00:20
bd_28d4211_fos_003.fits,bd+28d4211_fos,bd_28d4211_fos_003,2015-01-06T17:00:20
bd_28d4211_stis_001.fits,bd+28d4211,bd_28d4211_stis_001,2015-01-06T17:00:20
bd_28d4211_stis_002.fits,bd28d4211,bd_28d4211_stis_002,2013-11-18T19:20:56
bd_28d4211_stis_003.fits,bd28d4211,bd_28d4211_stis_003,2015-01-06T17:00:20
bd_28d4211_stis_004.fits,bd28d4211,bd_28d4211_stis_004,2015-01-05T21:02:38
bd_28d4211_stis_005.fits,bd28d4211,bd_28d4211_stis_005,22-Mar-2020
bd_33d2642_004.fits,bd+33d2642,bd_33d2642_004,2015-01-06T17:00:20
bd_33d2642_fos_003.fits,bd+33d2642_fos,bd_33d2642_fos_003,2015-01-06T17:00:20
bd_75d325_005.fits,bd+75d325,bd_75d325_005,2015-01-06T17:00:20
bd_75d325_fos_003.fits,bd+75d325_fos,bd_75d325_fos_003,2015-01-06T17:00:20
bd_75d325_stis_001.fits,bd+75d325,bd_75d325_stis_001,2015-01-06T17:00:20
bd_75d325_stis_002.fits,bd75,bd_75d325_stis_002,2013-11-18T19:20:56
bd_75d325_stis_003.fits,bd75,bd_75d325_stis_003,2015-01-06T17:00:20
bd_75d325_stis_004.fits,bd75,bd_75d325_stis_004,2015-01-05T21:02:38
bd_75d325_stis_005.fits,bd75,bd_75d325_stis_005,21-Mar-2020
bd_75d325_stis_006.fits,bd75,bd_75d325_stis_006,25-Oct-2022
c26202_mod_001.fits,c26202,_mod_001,13-Feb-2017
c26202_mod_002.fits,c26202,_mod_002,3-Aug-2017
c26202_mod_003.fits,c26202,_mod_003,17-Jan-2019
